siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 10:00",29
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 10:00",0.23
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 10:00",1.7
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 11:00",15
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 11:00",1.5
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 11:00",0.27
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 11:00",34
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 11:00",31
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 11:00",9
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 12:00",37
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 12:00",2.4
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 12:00",0.27
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 12:00",34
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 12:00",9
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 12:00",18
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 13:00",1.9
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 13:00",5
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 13:00",12
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 13:00",5
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 13:00",42
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 13:00",0.15
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 14:00",8
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 14:00",1.7
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 14:00",0.16
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 14:00",47
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 14:00",33
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 14:00",5
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 15:00",0.16
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 15:00",12
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 15:00",5
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 15:00",37
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 15:00",53
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 15:00",1.6
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 16:00",2
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 16:00",15
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 16:00",7
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 16:00",45
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 16:00",49
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 16:00",0.19
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 17:00",2
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 17:00",20
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 17:00",8
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 17:00",48
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 17:00",41
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 17:00",0.23
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 18:00",2.2
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 18:00",8
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 18:00",24
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 18:00",0.3
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 18:00",34
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 18:00",54
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 19:00",10
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 19:00",12
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 19:00",2.4
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 19:00",0.3
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 19:00",29
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 19:00",45
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 20:00",9
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 20:00",11
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 20:00",2.1
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 20:00",0.34
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 20:00",27
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 20:00",40
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 21:00",11
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 21:00",14
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 21:00",2.2
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 21:00",0.37
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 21:00",20
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 21:00",42
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 22:00",0.4
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 22:00",1.8
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 22:00",14
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 22:00",12
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 22:00",43
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 22:00",13
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 23:00",36
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 23:00",13
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 23:00",2.1
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 23:00",0.47
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 23:00",9
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 23:00",15
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 00:00",0.3
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 00:00",2.5
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 00:00",13
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 00:00",36
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 00:00",13
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 00:00",18
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 01:00",9
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 01:00",36
